-------------------------------
T_j^H 	 T_j^L 	 CC_i'
36 	 53 	 879
37 	 53 	 879
38 	 53 	 879
39 	 53 	 885
40 	 53 	 885
41 	 53 	 885
42 	 53 	 889
43 	 53 	 889
44 	 53 	 889
45 	 53 	 889
46 	 53 	 895
47 	 53 	 895
48 	 53 	 895
49 	 53 	 895
50 	 53 	 899
51 	 53 	 899
10 	 54 	 699
11 	 54 	 719
12 	 54 	 739
13 	 54 	 754
14 	 54 	 770
15 	 54 	 780
16 	 54 	 789
17 	 54 	 799
18 	 54 	 809
19 	 54 	 814
20 	 54 	 824
21 	 54 	 830
22 	 54 	 834
23 	 54 	 840
24 	 54 	 844
25 	 54 	 850
26 	 54 	 850
27 	 54 	 854
28 	 54 	 860
29 	 54 	 860
30 	 54 	 864
31 	 54 	 864
32 	 54 	 870
33 	 54 	 870
34 	 54 	 874
35 	 54 	 874
36 	 54 	 879
37 	 54 	 879
38 	 54 	 879
39 	 54 	 885
40 	 54 	 885
41 	 54 	 885
42 	 54 	 889
43 	 54 	 889
44 	 54 	 889
45 	 54 	 889
46 	 54 	 895
47 	 54 	 895
48 	 54 	 895
49 	 54 	 895
50 	 54 	 899
51 	 54 	 899
52 	 54 	 899
10 	 55 	 699
11 	 55 	 719
12 	 55 	 739
13 	 55 	 754
14 	 55 	 770
15 	 55 	 780
16 	 55 	 789
17 	 55 	 799
18 	 55 	 809
19 	 55 	 814
20 	 55 	 824
21 	 55 	 830
22 	 55 	 834
23 	 55 	 840
24 	 55 	 844
25 	 55 	 850
26 	 55 	 850
27 	 55 	 854
28 	 55 	 860
29 	 55 	 860
30 	 55 	 864
31 	 55 	 864
32 	 55 	 870
33 	 55 	 870
34 	 55 	 874
35 	 55 	 874
36 	 55 	 879
37 	 55 	 879
38 	 55 	 879
39 	 55 	 885
40 	 55 	 885
41 	 55 	 885
42 	 55 	 889
43 	 55 	 889
44 	 55 	 889
45 	 55 	 889
46 	 55 	 895
47 	 55 	 895
48 	 55 	 895
49 	 55 	 895
50 	 55 	 899
51 	 55 	 899
52 	 55 	 899
53 	 55 	 899
10 	 56 	 705
11 	 56 	 725
12 	 56 	 745
13 	 56 	 760
14 	 56 	 774
15 	 56 	 785
16 	 56 	 795
17 	 56 	 805
18 	 56 	 814
19 	 56 	 820
20 	 56 	 830
21 	 56 	 834
22 	 56 	 840
23 	 56 	 844
24 	 56 	 850
25 	 56 	 854
26 	 56 	 854
27 	 56 	 860
28 	 56 	 864
29 	 56 	 864
30 	 56 	 870
